Date,Close,High,Low,Open,Volume
2025-03-04,312.5,367.25,290.0,322.5,4248
2025-03-05,442.5,475.0,300.0,300.0,10132
2025-03-06,372.5,442.5,328.5,442.5,2636
2025-03-07,310.0,400.0,287.5,342.5,6007
2025-03-10,300.0,312.5,270.0,285.0,2316
2025-03-11,260.0,300.0,235.0,287.5,1372
2025-03-12,285.0,297.5,257.5,257.5,684
2025-03-13,265.0,300.0,257.5,300.0,868
2025-03-14,267.5,272.5,252.5,260.0,1047
2025-03-17,265.0,307.5,257.5,260.0,524
2025-03-18,251.25,277.5,247.5,277.5,1131
2025-03-19,245.5,261.25,237.5,250.0,651
2025-03-20,230.0,250.0,225.0,246.25,853
2025-03-21,245.0,247.75,228.75,240.0,916
2025-03-24,270.0,272.5,242.5,257.5,803
2025-03-25,257.5,275.0,255.0,275.0,415
2025-03-26,232.75,259.5,226.75,249.75,638
2025-03-27,237.5,245.0,214.25,227.0,589
2025-03-28,235.0,245.0,219.5,245.0,468
2025-03-31,160.0,175.75,130.5,175.75,4433
2025-04-01,151.25,191.5,142.75,155.0,2275
2025-04-02,147.25,151.25,139.5,146.75,500
2025-04-03,140.25,370.0,140.25,247.5,449367
2025-04-04,113.5,134.75,103.75,134.75,11227
2025-04-07,112.75,125.0,100.25,101.0,3517
2025-04-08,102.5,112.5,87.5,109.25,4654
2025-04-09,100.25,110.0,75.25,96.0,2695
2025-04-10,111.0,111.0,96.5,105.0,1191
2025-04-11,100.5,107.75,98.75,104.25,673
2025-04-14,102.5,103.25,96.5,103.25,460
2025-04-15,100.5,104.0,95.75,102.5,661
2025-04-16,88.25,97.25,83.75,92.5,2160
2025-04-17,70.75,92.75,65.25,87.5,4884
2025-04-21,71.25,72.5,66.5,68.75,1536
2025-04-22,77.75,85.25,69.5,71.0,2112
2025-04-23,90.0,94.5,78.5,78.75,1450
2025-04-24,89.75,92.25,85.0,87.5,1273
2025-04-25,87.5,93.25,86.25,93.25,1394
2025-04-28,77.5,86.5,73.0,85.25,1540
2025-04-29,78.0,78.0,74.5,77.25,676
2025-04-30,72.0,81.75,71.25,78.75,1270
2025-05-01,68.75,87.25,65.25,79.5,10638
2025-05-02,75.25,120.0,64.5,69.0,66033
2025-05-05,88.5,107.25,81.75,88.75,40908
2025-05-06,94.25,124.0,81.25,87.25,88908
2025-05-07,75.5,92.0,70.5,88.25,10504
2025-05-08,78.7249984741211,87.5,71.5,71.5,8820
2025-05-09,84.5,94.25,70.0,76.1500015258789,52080
2025-05-12,79.75,87.0,76.25,81.75,53816
2025-05-13,83.5,85.75,76.75,79.0,48864
2025-05-14,76.75,79.19999694824219,72.5,78.75,5440
2025-05-15,74.5,77.5,70.0,73.5,6428
2025-05-16,73.75,76.5,71.25,72.0,6240
2025-05-19,80.75,87.0,73.75,73.75,20984
2025-05-20,72.5,81.25,71.875,77.80000305175781,9332
2025-05-21,65.75,72.75,64.0,72.5,5840
2025-05-22,66.0,67.5,64.0,65.25,2592
2025-05-23,66.0,70.4000015258789,65.0,65.25,3448
2025-05-27,66.0,70.0,64.5,65.75,75148
2025-05-28,56.0,61.5,53.25,61.5,12664
2025-05-29,54.75,58.5,52.54999923706055,53.75,5264
2025-05-30,50.5,55.75,45.25,55.75,5236
2025-06-02,43.0,109.75,42.0,57.5,1960800
2025-06-03,92.5,153.25,75.75,131.5,3745148
2025-06-04,76.25,88.9749984741211,70.75,72.0,106884
2025-06-05,57.5,74.0,56.47499847412109,72.75,42728
2025-06-06,55.0,59.75,52.5,59.75,22088
2025-06-09,47.75,55.375,47.25,54.25,31232
2025-06-10,48.5,51.5,47.5,51.0,25076
2025-06-11,49.5,51.5,46.25,48.0,26332
2025-06-12,44.75,49.75,43.25,49.25,627256
2025-06-13,42.5,42.5,39.5,41.5,30764
2025-06-16,34.5,41.0,34.25,40.0,44676
2025-06-17,31.25,35.0,31.0,34.75,19748
2025-06-18,31.0,32.25,29.25,29.25,20592
2025-06-20,30.0,31.25,29.0,31.25,13888
2025-06-23,27.25,29.5,26.5,29.5,12832
2025-06-24,27.0,28.25,26.5,27.0,10528
2025-06-25,26.0,27.0,25.0,26.75,85260
2025-06-26,28.25,29.25,25.5,29.0,438356
2025-06-27,25.75,28.0,25.25,26.75,45764
2025-06-30,26.0,30.75,25.25,25.25,88512
2025-07-01,24.75,31.0,21.25,29.75,1322764
2025-07-02,24.75,26.5,24.0,25.0,72668
2025-07-03,23.14999961853028,24.600000381469727,22.575000762939453,24.0,29868
2025-07-07,21.700000762939453,23.5,21.25,23.0,45272
2025-07-08,16.5,20.5,15.574999809265137,20.5,82656
2025-07-09,15.324999809265137,16.200000762939453,15.225000381469728,15.875,30852
2025-07-10,15.649999618530272,16.0,15.125,15.675000190734863,20424
2025-07-11,15.675000190734863,16.299999237060547,15.300000190734863,15.899999618530272,20284
2025-07-14,15.850000381469728,17.350000381469727,15.550000190734863,16.200000762939453,54148
2025-07-15,14.699999809265137,16.0,14.5,15.875,24432
2025-07-16,14.074999809265137,14.774999618530272,13.899999618530272,14.675000190734863,26036
2025-07-17,15.199999809265137,15.25,14.125,14.375,30480
2025-07-18,14.199999809265137,15.199999809265137,13.675000190734863,14.75,39496
2025-07-21,13.475000381469728,15.024999618530272,13.0,14.5,59688
2025-07-22,13.850000381469728,14.050000190734863,13.25,13.274999618530272,9000
2025-07-23,13.824999809265137,14.399999618530272,13.574999809265137,14.25,25492
2025-07-24,13.699999809265137,14.300000190734863,13.5,13.600000381469728,11616
2025-07-25,13.0,13.100000381469728,12.5,12.5,25412
2025-07-28,13.0,13.75,12.774999618530272,13.75,8652
2025-07-29,11.5,15.800000190734863,10.600000381469728,15.074999809265137,1065632
2025-07-30,10.524999618530272,11.050000190734863,10.0,10.550000190734863,57008
2025-07-31,10.875,11.375,10.074999809265137,10.074999809265137,25636
2025-08-01,10.0,10.5,8.75,9.75,43076
2025-08-04,11.800000190734863,12.75,10.399999618530272,10.600000381469728,220760
2025-08-05,11.199999809265137,12.104999542236328,10.25,11.399999618530272,135160
2025-08-06,9.550000190734863,10.75,9.149999618530272,10.75,46460
2025-08-07,9.25,9.850000381469728,8.949999809265137,9.5,17880
2025-08-08,9.350000381469728,9.399999618530272,8.5,9.149999618530272,21500
2025-08-11,9.300000190734863,9.399999618530272,8.850000381469727,8.899999618530273,13660
2025-08-12,9.800000190734863,10.300000190734863,8.75,8.949999809265137,157560
